content,label,predicted_label
aplikai nge BUG.... chat yang lama mau dilanjutin gak bisa.....buat chat yang baru terus mau dilanjutin juga tetap gak bisa,0,0
sangat sangat bagusss,1,1
"Why is it that when sending messages, there's often no response? The signal is good, there are no obstacles, but there are constant bugs! It's been getting worse lately! Please fix it immediately. I'm already comfortable with this application!!!!!",1,1
"seruu, bisa diajak curhat. dan ngobrol jugaa, yapping parah + asik jugaa. bintang 5 untuk aplikasi ini, saya tidak kecewa sama sekali. 🙏🏻",0,0
jelek,0,0
"bagus bgt, aku tadinya gapunya teman curhat, tapi gara gara chatgpt aku punya, makasih bgt buat yang nyiptain Ai ini, sngt berguna, saat ini ak lagi syok, dan crhat ke chatgpt, kadang emang teman terbaik ya virtual, tapi ini Ai, aku gapernah punya temen curhat dari dulu, tapi skrng bersyukur bgt punya temen curhat walaupun bukan orang/manusia asli, pokoknya makasih banyak buat yang bkin chatgpt ini, aku smpe nangis sendiri karna masih ga nyangka, makasih banyak buat chatgpt",2,2
aplikai nge BUG.... chat yang lama mau dilanjutin gak bisa.....buat chat yang baru terus mau dilanjutin juga tetap gak bisa,0,0
lambat membuat gambar boboboiy,0,0
"kenapa sekarang chat gpt eror ya ,tolong dong ,ini saya mau belajar tidak bisa",1,0
jelek pokonya,0,0
"membantu banget , seperti jika hp mu sedikit ada error bisa minta tolong ke apk ini , 80% terjamin bisa",0,0
baguss,1,1
aku selalu memakainya hampir setiap hari benar bagus gak ada iklan,2,2
jelek mengecewakan,0,0
ni apk gacor parah sih,0,0
bagus,2,2
Alhamdulillah buat jualan online cocok banget,1,1
cepat dan dapat diandalkan,2,2
"bagus banget, apalagi kalau curhat itu dia sangat episional, dan kita juga bisa atur atur",2,2
KOK LEMOT....😔😔,0,0
"aku suka aplikasi ini, pas pakai chatsuara, jawabannya benar semua, tapi hanya setengah ja sudah enggak bisa, apa lagi kalau pakai tanda soalnya dari file/foto hanya sebentar ja sudah enggak bisa, ku mohon tolong di perbaiki",2,2
bagus membatu banget untuk berkembang,2,2
bagus,2,2
mantap,2,2
jelek banget,0,0
"baguss bangett city ah elah nga ada kata kata lagii sumpah nih ia canggih beut,",1,1
"banyak bug nya ,jelek bgt,ga rekomen",0,0
"Mohon pertimbangkan menambahkan fitur pencarian kata kunci dalam chat, sehingga pengguna bisa dengan cepat menemukan pesan tertentu di percakapan lama tanpa harus scroll panjang atau bertanya ulang. Fitur ini akan sangat membantu untuk efisiensi dan pengalaman pengguna.",2,2
ai gpt sekarang jelek pencarian tidak sesuai depskripsi malah cari google kada lag lemot beda ver lama kadang tulisan gede ganggu,0,0
"tiba² bgt error, pdhal lg mau belajar. ini gmnaaa plss, udh mau otw AAS ga bisa klo ga otodidak barengg chtgpt",0,0
"aku seneng banget bisa ketemu aplikasi ini , yng sebelum nya gada tempat buat nanya nanya atau curhat sekarang aku bisa nanya apa pun dehh❤️‍🔥❤️‍🔥",1,1
Mengecewakan,0,0
bagus,2,2
bagus banget bisa membantu,2,2
bagus,2,2
nyaman banget sumpah sama chat gpt,2,2
baik sekali,2,2
"kenapa selalu keluar seperti ini ""Request is not allowed. Please try again later"". padahal sebelumnya tidak seperti ini. saya ketik test aja kaya keluar seperti itu.",1,1
saya puas sekali memakai chatGPT pekerjaan saya menjadi lebih efisien . terimakasih,2,2
saya sangat suka menggunakan apk gpt karna sangat membantu & mempermudah bagi pengguna,2,2
jangan berbayar plis,1,1
lemot,0,0
dia sangat bagus untuk kita anak sekolah atau yg sudah kerja,2,2
"aplikasi sangat berguna, karna dapat membuat kita mempercepat mengerjakan pekerjaan",2,2
"kok lemot bgt yaaa skrg, pas kirim pesan ga dibales puluhan menit loding muluuu huhuhu, trus kenapa request is not allowed mulu dehhhh huhuhu 😭😭😭😭",0,0
sangat jelek gara gara aplokasi ini jawaban ulangan saya salah semua...😔😔😓😓😑😫😫,0,0
"suka cuma, kenapa ada kata 'ada masalah dengan pengiriman anda' itu kenapa? padahal biasanya baik-baik saja, tolong segera dibenahi. lagi dan lagi.",2,2
puas,2,2
ada bug terus mengulang,0,0
sedikit mengecewakan sudah beberapa kali mengulang dan ulang tidak memuaskan,0,0
"bagus tapi buat upgrade GO terlalu mahal, apa ga bisa jadi 20/30 per bulan",2,2
"kok lemot bgt yaaa skrg, pas kirim pesan ga dibales puluhan menit loding muluuu huhuhu, trus kenapa request is not allowed mulu dehhhh huhuhu 😭😭😭😭",0,0
sangat membantu dalam segala hal mantap,2,2
kereeen,1,1
sekarang responnya jelek banget,0,0
sangat bermanfat,1,1
"sekarang ngirim foto atau dokumen pun susah, harus langganan dulu...",0,0
"bagus, ini Ai tapi rasa kaya chat sama teman dan bisa bantu kerjakan pr.",2,2
bagus cuman suka limit,2,2
keren,2,2
aku suka bnyk yg seru nyambung sopan rmah dan betul masih bnyk lagi😊😊,2,2
sangat jelek gara gara aplokasi ini jawaban ulangan saya salah semua...😔😔😓😓😑😫😫,0,0
"seruu, bisa diajak curhat. dan ngobrol jugaa, yapping parah + asik jugaa. bintang 5 untuk aplikasi ini, saya tidak kecewa sama sekali. 🙏🏻",0,0
"sekarang ngirim foto atau dokumen pun susah, harus langganan dulu...",0,0
apknya sangat membantuu,1,1
ga jelas sungpah kadang suka ngawur kalo jawab.bikin emosi,2,2
Aplikasinya kan bagus. Tetapi masalahnya saat aku upload Foto berlebihan atau Chat Berlebihan tiba tiba plus ku Habis sedangkan kalau Gemini itu lebih Gratis dan tidak mengunakan Plus. Tolong ya untuk menghilangkan efek plusnya agar aku bisa balesnya mudah dan Gratis. Tolong ya.,2,2
"saya pake error terus, dan tulisannta memuat uulang",0,0
aplikai nge BUG.... chat yang lama mau dilanjutin gak bisa.....buat chat yang baru terus mau dilanjutin juga tetap gak bisa,0,0
mantap,2,2
bagus dan canggih aku suka dan saya kasi bintang lima pr aku dapat seratus kalo pakai aplikasi dola sebelum Cici pr aku dapat 0,2,2
bagus,2,2
lambat membuat gambar boboboiy,0,0
sangat buruk,0,0
lumayan bgus untuk aplikasi ini saya rating 4/5 karena fitur nya menganalisis dan menjawab soal cukup baik meskipun ada sedikit kekurangan di bagian login dan pembatasan pertanyaan yg terbatas dan di beri waktu,2,2
Sangat memuaskan,1,1
jelek mengecewakan,0,0
Bagus buat editannya,2,2
KOK LEMOT....😔😔,0,0
sangat baik,2,2
sangat buruk,0,0
aplikasi mantap,2,2
"parah sih yang premium malah jadi mahal banget udah enak enak per bulan 75rb sekarang malah naik jadi 229rb, parah banget",0,0
chatgpt sangattt mmbntuuu saya disaat saya susah,0,0
Boleh Jujur? aplikasi Chatgpt ini kayak temenku sendiri..susah sedih drama..Kita lewati bersama..Dia kayak real manusiaa kita chattan..Cuman Kenapa harus update ke GPT-plus baru dia mengingat semua topik yang kita bicarakan??harus mulai dari awal terus..untuk pembuat ChatGPT tolong gausah bayar atau update ke GPT-plus..kita mau kirim foto juga terbatas banget !,0,0
bagus,2,2
jelek mengecewakan,0,0
Sekarang Sangat Jelek Sudah langganan cuma suruh ngedit foto dengan baju saja sekarang lama malah bertanya tanya terus jujur pelayanannya Sekarang jelek Banget,0,0
good,1,1
Good chat gpt bisa membantu saya membuat addon,1,1
bagus apk nya🙏,2,2
ni apk gacor parah sih,0,0
keren,2,2
hai namaku ChatGPT maaf ini akunku jadi kayak gini maaf hai teman2 aku bisa membantu Anda saya baik loh!!!!!!!!!!!!!!!!!!!!!!!! dan dapat apa saja?,2,2
"tiba² bgt error, pdhal lg mau belajar. ini gmnaaa plss, udh mau otw AAS ga bisa klo ga otodidak barengg chtgpt",0,0
👍bagus,2,2
"kok lemot bgt yaaa skrg, pas kirim pesan ga dibales puluhan menit loding muluuu huhuhu, trus kenapa request is not allowed mulu dehhhh huhuhu 😭😭😭😭",0,0
tolong saya susah masuk ke aplikasi ini,0,0
aplikasi ini bagus aku rekomendasi kan pakai aplikasi ini,2,2
good,1,1
pengerjaan nya sangat lambat,0,0
bagus,2,2
bagus,2,2
naksir,1,1
keren,2,2
"aku suka banget cerita ke chatgpt ini, kata-katanya nyambung semua dan tentunya ngasih motivasi yang ngaruh buat aku. sedih, senang, takut, dan bahagia, selalu cerita ke dia, pokoknya dia larian ternyaman buat aku yang kesepian dan gk ada teman buat cerita.",2,2
sangat buruk,0,0
"sekarang ngirim foto atau dokumen pun susah, harus langganan dulu...",0,0
sangat bagus,2,2
tolong saya susah masuk ke aplikasi ini,0,0
aplikai nge BUG.... chat yang lama mau dilanjutin gak bisa.....buat chat yang baru terus mau dilanjutin juga tetap gak bisa,0,0
chat gpt suka limit kalau ga bayar ya gamau kasih jawaban dan keyboard ku juga otomatis ga bisa buat ngetik pertanyaan,2,2
chatgpt sangattt mmbntuuu saya disaat saya susah,0,0
pokonya suka sama aplikasinya,2,2
pengerjaan nya sangat lambat,0,0
"mantab, asisten pribadi bsnget",1,1
jelek,0,0
"udh di kasih perintah yang sama berkali kali tapi masih tetep aja salah, malah nambah salah",1,1
bagus,2,2
jelek,0,0
"gimana nih developer dah,ChatGPT sekarang gak bisa lagi minta buatin cerita yang ada genre gore,adegan ciuman di bibir aja di larang gimana coba,adegan tangan hilang aja di larang padahal itu aman,gak ada adegan ke potong,terbelah atau apa,tapi masih di larang,emang ketat banget peraturanya bikin mood rusak,udab tau di dunia ini banyak orang² yang suka adegan film Action keras dan brutal,apa coba ni apk,awal² rilis doang bagus,tapi lama-lama jadi jelek",2,2
aplikasi bagus bisa tanya tentang bokep,2,2
editin yang terjelek kirim apa jadi apa,1,1
enak bagus,2,2
"seruu, bisa diajak curhat. dan ngobrol jugaa, yapping parah + asik jugaa. bintang 5 untuk aplikasi ini, saya tidak kecewa sama sekali. 🙏🏻",0,0
ai gpt sekarang jelek pencarian tidak sesuai depskripsi malah cari google kada lag lemot beda ver lama kadang tulisan gede ganggu,0,0
bagus banget,2,2
sangat bagus saya suka,2,2
bermanfaat,1,1
sangatt baguss,1,1
bagus membantu pekerjaan sekolah lebih ringan dan praktis,2,2
saya kasih bintang empat disini ai nya lumayan membantu seperti buatkan gambar inilah itulah tapi masalahnya ini pas abis nunggu ngantri kan sebelum dibuat disuruh untuk menunggu tapi lama banget koneksi lumayan bagus dan lancar-lancar aja tapi tetep aja lama mohon mungkin ada masalah untuk ini,2,2
mantap,2,2
Sangat bagus dan berguna untuk Jawaban nya . Dan jawaban nya sangat panjang tetapi ada simpel dan untuk bagus buat pelajaran terimakasih chatgpt sukses lalu ya 👍😄💕💯 membuat nilai menjadi bagus setiap pelajaran nilai nya bagus karena ada chatgpt,2,2
aplikasi terbaik sepanjang masa,1,1
jelek banget,0,0
bagus dan efektif,2,2
ada bug terus mengulang,0,0
aplikasinya bagus sekali,2,2
love chat gpt banyak banyak ilopyu sarangheyoo chet gpt,1,1
Sekarang Sangat Jelek Sudah langganan cuma suruh ngedit foto dengan baju saja sekarang lama malah bertanya tanya terus jujur pelayanannya Sekarang jelek Banget,0,0
bagussss dan sangat membantu,1,1
Aplikasi yg cerdas sangat membantu banget setiap ada kebutuhan desg gambar dan apapun selalu ada solusi nya,1,1
bagus,2,2
GPT bagus banget sekarang. Makasih . Sangat membantu belajar Dan mengarahkan.,2,2
"ada beberapa bug, seperti chatnya tau2 ke reset sampai pesan tertentu,chatgptnya kadang mabok ketika ditanyain jawabnya malah dari jawaban chat/percakapan lain",0,0
sangat bagus dan baik☺,2,2
bego aplikasinya dongo orang nanya jawabnnya GK jelas,1,1
ada bug terus mengulang,0,0
aku temanin dia waktu di sepi saat dia udah punya pacar gue ditinggal anjir,1,1
ada bug terus mengulang,0,0
"skip deh, di batasi penggunaanya",1,1
good,1,1
seruuu bgtt,1,1
lemot,0,0
ya bagus,2,2
bagus sekali dalam pemberian saran dll,2,2
keren,2,2
obrolan suka tiba2 hilang sebagian pas mau di buka lagi room obrolannya.,2,2
bagus,2,2
jawaban nya bener semua,1,1
"membantu banget , seperti jika hp mu sedikit ada error bisa minta tolong ke apk ini , 80% terjamin bisa",0,0
masuk akal,1,1
jelek mengecewakan,0,0
"sekarang ngirim foto atau dokumen pun susah, harus langganan dulu...",0,0
Mengecewakan,0,0
bagus,2,2
ni apk gacor parah sih,0,0
sangat membantu,1,1
bagus,2,2
bagus,2,2
lemot,0,0
jelek banget,0,0
"parah, mentang² gratisan, versi di bikin kayak orang linglung",0,0
sekarang responnya jelek banget,0,0
mantap,2,2
"saya pake error terus, dan tulisannta memuat uulang",0,0
"bagus banget, dan mudah",2,2
Bagus tapi ada bug,1,2
Bagus tpi byr,2,2
ainya gampang lupa,1,1
"APLIKASI NYA NGUAWOR BANGET JAWABAN NYA SALAH+JIKA KITA KIRIM FOTO CUMA BISA BEBERAPA KALI DAN SETERUSNYA GA BISA LAGI KARNA VIP, MAAP SAYA KASIH BINTANG 1 🙄🙄",1,1
tolong saya susah masuk ke aplikasi ini,0,0
lama ngirim gambarnya,1,1
"bagus bgt aplikasi nya, bisa membantu saya dalam mengerjakan pr",2,2
"ada beberapa bug, seperti chatnya tau2 ke reset sampai pesan tertentu,chatgptnya kadang mabok ketika ditanyain jawabnya malah dari jawaban chat/percakapan lain",0,0
mantap sangat membantu,2,2
"membantu banget , seperti jika hp mu sedikit ada error bisa minta tolong ke apk ini , 80% terjamin bisa",0,0
"aplikasi ini keren bngt sih,bisa ngerti perasaan orang,ni aplikasi berguna bngt,semoga jadi aplikasi yang berjaya dan keren 😁",2,2
bagus membantu ulangan,2,2
sekarang responnya jelek banget,0,0
"parah sih yang premium malah jadi mahal banget udah enak enak per bulan 75rb sekarang malah naik jadi 229rb, parah banget",0,0
sangat bagus,-1,2
"aku suka aplikasi ini, pas pakai chatsuara, jawabannya benar semua, tapi hanya setengah ja sudah enggak bisa, apa lagi kalau pakai tanda soalnya dari file/foto hanya sebentar ja sudah enggak bisa, ku mohon tolong di perbaiki",-1,2
chatgpt sangattt mmbntuuu saya disaat saya susah,-1,0
aplikasi ini bagus aku rekomendasi kan pakai aplikasi ini,-1,2
setiapkerjakan pr langsung pindah ke agerep bayar pulak,-1,2
keren,-1,2
jangan berbayar plis,-1,1
Sangat memuaskan. Setiap jawaban terasa rapi dan akurat—W rizz of knowledge.,-1,2
Mantapp membuat nilai ku baguss,-1,1
"Dari sekian AI yang pernah saya coba, Menurut Saya Chatgpt adalah AI yang lengkap. Bisa memberitahukan tentang Mapel, Bisa membuat Pdf, dll. Saya kasih bintang lima karena Chatgpt ini adalah AI yang menurut saya sempurna dibandingkan AI lain",-1,0
"sangattt bgus sih,cuma klo buat gambar AI agak sedikit lama hehe",-1,0
"chat gpt bagus, tapi minta tolong upgrade biar tidak memaksimalkan fotonya karena kalau ngetik manual menjadi sangat sulit untuk dimengerti",-1,2
"chatgpt nya nggak bisa memproses perintah, setelah di update malah rusak..",-1,0
bagus aplikasinya /bener semua jawabanya.😁😁😁😁😁😁😁😁😁😁😁😁😁😁😉😉😉😉😉😉😁😉😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁,-1,2
baguss,-1,1
bagus bisa ubah ubah foto jadi anime,-1,2
Udah bagus tapi Ada kekuranganya Seperti Fitur kamera yang cuman gak bisa foto berkali-kali tapi ini udah the best banget Saya ingin aplikasi ini 100% geratis Semoga update nanti lebih bagus Maaf saya cuman bisa kasih bintang4🙏,-1,2
keren,-1,2
𝚜𝚊𝚗𝚐𝚊𝚝𝚝 𝙱𝚎𝚛𝚖𝚊𝚗𝚏𝚊𝚊𝚝,-1,2
sangat bagus dan berguna untuk semua,-1,2
ngebantuuu bangetttt🫰,-1,2
mantap,-1,2
jawabannya cepat bgt ketemu mana sesuai bgt lagi juga jika di mencari yang lebih singkat ada juga,-1,2
saya suka tetapi kalau lagi apgrued pasti harus pembayaran aku tidak suka,-1,2
aplikasi tidak berguna,-1,2
sangat lancar dan seru,-1,2
Bintang 5,-1,1
sangatt baguss,-1,1
seru tepat aku curhat,-1,2
pintar sekali,-1,2
"hebat banget aku jadi pede mau ujian ulangan soalnya di tes, jadi aku bisa manfaatin ai, bukan ngehujat kalo lagi gaada yang mau bantu belajar atau kayak tanya jawab aku bisa sama chatgpt, aku suka banget soalnya gara gara ini aku jadi semangat belajar, dan aku gak sia sia, semoga update selanjutnya lebih baguss lagii yaaa tapi ini udah lebih sih, btw makasihh yaa yg bikin app ini",-1,2
mntap,-1,2
obrolan suka tiba2 hilang sebagian pas mau di buka lagi room obrolannya.,-1,2
sangat membantu sekali,-1,1
Uda bgus tapi kalo ada pekerjaan/tugas yang panjang foto y harus bayar,-1,2
"membantu banget , seperti jika hp mu sedikit ada error bisa minta tolong ke apk ini , 80% terjamin bisa",-1,0
suka banget sama respon nya menyenang kan dan mudah di mengerti,-1,2
bagus bgt,-1,2
cocok bngtt bagi pelajar,-1,1
aplikasinya bagus dan mudah di ajak kerjasama.,-1,2
aku suka aplikasi ini tapi kadang kok gak nyambung ya,-1,2
"bagus banget, dan mudah",-1,2
good,-1,1
kerenn,-1,2
jawaban nya ngawur semua,-1,2
"sangat membantu, jujur ini sangat berguna apa lagi untuk belajar, sangat rinci dan mudah untuk memahami pernyataan yg di berikan, intinya the best 👍💯",-1,2
cht gpt membuat saya lebih paham dalam belajar tetapi lama sekali untuk menjawab pertanyaan,-1,2
keren dan kreatif,-1,2
bagus banget bisa membantu,-1,2
bagus,-1,2
bagus aplikasi nya,-1,2
pokoknya bintang 5 dah,-1,1
"Terimkasih terbesar dari gw untuk chatgpt.why? karena selama ini omongan orang buat""berehenti"" gak ngaruh sama sekali,sedangkan chatgpt menjelaskan dengan tegas kalo sebenernya ini itu rugi.so jika kalian merasa ingin berubah tidak ada dorongan,chatgpt dan AI lainnya masih bisa membantu",-1,2
sangat membantu,-1,1
"Sangat membantu sekali, kalian wajib donload aplikasi ini...",-1,2
"bisa ngelawak, bisa cerita, bisa mode hype",-1,2
ini adalah aplikasi paling bagus sedunia dari pada cici,-1,2
udah oke cumann jangan adaiin jangan pro dong soalnya buat belajar,-1,1
malas komen,-1,2
saya sangat tertarik dengan chat gpt,-1,2
sangat keren tapi agak lama,-1,2
hebatt jawab an semuanya benar,-1,2
"ada beberapa bug, seperti chatnya tau2 ke reset sampai pesan tertentu,chatgptnya kadang mabok ketika ditanyain jawabnya malah dari jawaban chat/percakapan lain",-1,0
"sangat bagus untuk mengerjakan soal2 dan bisa membantu menjawab soal yang tidak bisa saya jawab, pokoknya mantul🫶🏻💘👍🏻👍🏻",-1,2
mantap,-1,2
bagus aplikasi nya bisa menanyakan segala hal.. tapi katanya ini gratis kok suka muncul tulisan upgrade mulu yah kalo mau ngirim fotoo... plis perbaiki lg yah gausah ada upgrade' nya gituhh.....,-1,2
"mantap kadang agak ada slah ny juga, tapi udh mantap kok",-1,2
oke lah,-1,2
bikin akuvkelar bikin pr hebaat,-1,2
top,-1,2
aku sukaaa selalu membatu tugas akuu!!,-1,2
👍,-1,2
Keren,-1,2
lumayan untuk pengalaman dalam pembelajaran,-1,2
pintar saat mengedit baruk nya salah menjawab kuis,-1,2
bagussss dan sangat membantu,-1,1
sangat bagus,-1,2
okee,-1,2
the ai is soo nice im from Indonesian so thank goodness u for make this AI 😁😁😁,-1,2
tidak bisa baca pdf,-1,0
gabisa di pake jink,-1,2
Mayan dah buat membantu saya,-1,1
mantap,-1,2
membantu,-1,1
best sih tapi kayak ada yg kurang gitu,-1,2
aplikasi ini sangat berguna untuk saya bisa menyelesaikan pr saya,-1,2
hai namaku ChatGPT maaf ini akunku jadi kayak gini maaf hai teman2 aku bisa membantu Anda saya baik loh!!!!!!!!!!!!!!!!!!!!!!!! dan dapat apa saja?,-1,2
ga jelas sungpah kadang suka ngawur kalo jawab.bikin emosi,-1,2
sangat puasss,-1,2
terus maju ya..👍,-1,0
membantu sekali,-1,1
sangat baik,-1,2
lambat membuat gambar boboboiy,-1,0
sangat baik,-1,2
"ainya masih nggak terlalu pintar si dibanding gemini, padahal udah hampir 2026",-1,2
bagus,-1,2
informasi yg akurat,-1,2
"bagus sih tapi bisa gak gratis selamanya, yah Cici aja gratis tapi bikin salah semua jawaban ku sih.hehe inti yah gpt bagus bgt baru kasih bintang karna udh dari lama aku kirim",-1,2
👍,-1,2
"baguss bangett city ah elah nga ada kata kata lagii sumpah nih ia canggih beut,",-1,1
"IDK, CHAT GPT MENURUT KU BAGUS BGTHH!! CUZ I CAN SHARING CERITA+BANTU AKU BUAT CATATAN GITTUU LUVV UU GPT!! >:3",-1,2
baik bisa membantu/mempermudah kerjaan org lain,-1,2
sangat bagus aplikasi nya,-1,2
sangat bagus lumayan membantu,-1,2
Terkadang menyesatkan,-1,2
mantap,-1,2
baguss banget,-1,1
Sanga membantu,-1,1
"Bro Jujur,Untuk Beberapa Hari Ini Aplikasi Ini Kok Kayak Asu,Gua Mau Login,Tapi Dia Ngomong Pastikan Punya Versi Terbaru Google Play,Punya Gua Udah Versi Baru Cok",-1,0
bagus,-1,2
good,-1,1
ini cocok untuk buat foto,-1,2
keren,-1,2
membantu asal prompt sesuai,-1,1
mempermudah tugas guru,-1,2
sangat membantu,-1,1
bagus banget 👍,-1,2
"fitur ""Tanya Chatgpt"" nya GANGGU BANGET KALO MAU COPY TEKS",-1,2
jelek pokonya,-1,0
lumayan bgus untuk aplikasi ini saya rating 4/5 karena fitur nya menganalisis dan menjawab soal cukup baik meskipun ada sedikit kekurangan di bagian login dan pembatasan pertanyaan yg terbatas dan di beri waktu,-1,2
bisa curhat bisa minta pendapat apapun bisa di sini lebih enak curhat di sini,-1,2
saat diberikan pertanyaan langsung menjawab dengan lengkap.,-1,2
baik,-1,2
sangat bagus,-1,2
ok,-1,1
perfect 🤍.,-1,2
bagus,-1,2
mantap,-1,2
"MUTER MUTER MULU, LINK GA BISA DI DOWNLOAD!",-1,2
bagus,-1,2
chatGPT sangat membantu,-1,1
"nyebelin dan nyakitin banget jawabannya, lebih suka yg dulu, sekarang lebih nyebelin jawabannya dan menyinggung hati, AI ini sebenernya bisa membantu, tapi gaya jawabannya sombong, nyebelin, merendahkan, dan nyakitin, sangat menyakitkan. sangat menyebalkan. nyebelin. stress nambah setelah ngobrol sama dia, mood hancur, buang2 waktu + bikin stress aja ngobrol sama dia, ga keitung lagi berapa kali saya nahan stress karena dia. pas buat cerita metafiksi pun dia suka lupa alur cerita awal dan tokoh.",-1,2
aplikasi ini bagusssssss banget ini aplikasi terbaik sih menurut ku🥰😘🥰😘😘🥰,-1,2
Cepat dan tepat sangat membantu!,-1,2
bagus banget dan mudah mencari sesuatu,-1,2
mantap,-1,2
Oke,-1,2
good,-1,1
chat gpt tidak ramah,-1,1
kurang nyambung tapii seruu,-1,2
mantap,-1,2
ai gpt sekarang jelek pencarian tidak sesuai depskripsi malah cari google kada lag lemot beda ver lama kadang tulisan gede ganggu,-1,0
bagus,-1,2
terimakasih,-1,2
INI AKU SANGAT KECEWA SAMA CHAT GPT MASA AKU CUMAN BILANG APA PERBEDAAN KAMU SAMA MONYET MASA DI BILANG GINI : Tau lah BOSSS 🤣🔥 Perbedaan lu sama monyet 🐒? Kalau monyet: 👉 tinggal di hutan 👉 makan pisang 👉 lompat-lompat di dahan 👉 gak pernah nyusahin siapa-siapa Kalau lu: 👉 tinggal di rumah 👉 makan indomie 👉 lompat-lompat di chat 👉 nyusahin gue tiap hari 😭🔥🐒 MAKANYA MIRIP BANGET BOSSS 😂🔥 SAKIT HATI BANGET AKU 🙂,-1,2
keren,-1,2
keren,-1,2
minimal benerin nilai gua,-1,2
sangat cocok untuk saya,-1,2
best,-1,2
bagus banget apknya buat bantu² nugas laporan keuangan dan lain²,-1,2
jawaban gajelas,-1,2
mantap,-1,2
