userName,score,content,content_clean,at,thumbsUpCount,content_normalized,content_clean_final
Ulfan Plus,5,"saya sudah lama menggunakan .aplikasi ini, sangat bermanfaat","saya sudah lama menggunakan .aplikasi ini, sangat bermanfaat",2025-10-17 02:32:28,0,"saya sudah lama menggunakan .aplikasi ini, sangat bermanfaat",aplikasi bermanfaat
Nando M. KHABIB,5,mantab,mantab,2025-10-17 02:27:23,0,mantab,mantab
Diana Sasole,5,"Wooww! Aplikasi ini benar-benar memudahkan hidupku ❤️ Apa pun bisa dikerjakan dengan cepat dan menyenangkan. Jawabannya jelas, akurat, dan bikin hati senang 👏👏 Terima kasih sudah adaa✨","wooww! aplikasi ini benar-benar memudahkan hidupku ❤️ apa pun bisa dikerjakan dengan cepat dan menyenangkan. jawabannya jelas, akurat, dan bikin hati senang 👏👏 terima kasih sudah adaa✨",2025-10-17 02:26:34,0,"wooww! aplikasi ini benar-benar memudahkan hidupku ❤️ apa pun bisa dikerjakan dengan cepat dan menyenangkan. jawabannya jelas, akurat, dan membuat hati senang 👏👏 terima kasih sudah adaa✨",wooww aplikasi benarbenar memudahkan hidupku cepat menyenangkan jawabannya akurat hati senang terima kasih adaa✨
ko jemie,5,hebat,hebat,2025-10-17 02:24:33,0,hebat,hebat
Graderio Anime,5,sangat menarik,sangat menarik,2025-10-17 02:23:25,0,sangat menarik,menarik
Fedrian Yusuf,5,baik',baik',2025-10-17 02:15:09,0,baik',
safaramadinah santoso,1,kakean batasan!!!!,kakean batasan!!!!,2025-10-17 02:08:50,1,kakean batasan!!!!,kakean batasan
Dia harani Azura,5,mantap,mantap,2025-10-17 01:52:46,0,mantap,mantap
Rusman Adista gara,5,bagus baget,bagus baget,2025-10-17 01:44:37,0,bagus baget,bagus baget
Florentasantamaria Naibaho,4,baguss,baguss,2025-10-17 01:44:35,0,baguss,baguss
Zahira Cantik,4,bagus baik,bagus baik,2025-10-17 01:41:59,0,bagus baik,bagus
Diah Rizza,5,membantu sekaliii,membantu sekaliii,2025-10-17 01:41:42,0,membantu sekaliii,membantu sekaliii
Akun ff,4,lumayan,lumayan,2025-10-17 01:31:21,0,lumayan,lumayan
Dewi,5,sangat membantu untuk membuat ide kreatif,sangat membantu untuk membuat ide kreatif,2025-10-17 01:29:40,0,sangat membantu untuk membuat ide kreatif,membantu ide kreatif
alif fais dwisa salam,5,bagus banget,bagus banget,2025-10-17 01:27:59,0,bagus banget,bagus banget
Liliksri,5,mantap trbaik chatgpt🥰,mantap trbaik chatgpt🥰,2025-10-17 01:25:41,0,mantap trbaik chatgpt🥰,mantap trbaik chatgpt🥰
Hamzah Al ikhsan,5,mantap premiumnya jadi murah!,mantap premiumnya jadi murah!,2025-10-17 01:25:35,0,mantap premiumnya jadi murah!,mantap premiumnya murah
Ni Putu Ermi Wiadnyani,5,oke banget,oke banget,2025-10-17 01:06:35,0,oke banget,oke banget
waskito kinnara,5,sangat akurat,sangat akurat,2025-10-17 01:06:28,0,sangat akurat,akurat
Dana Ardia,5,Sangat bagus,sangat bagus,2025-10-17 01:02:03,0,sangat bagus,bagus
Ahmad Offical,5,Good assistant.,good assistant.,2025-10-17 00:59:32,0,good assistant.,good assistant
redi Irawan,5,siiplah,siiplah,2025-10-17 00:41:30,0,siiplah,siiplah
Rafaeljf Wikarsa,5,"sehat, update seperti gugel","sehat, update seperti gugel",2025-10-17 00:40:08,0,"sehat, update seperti gugel",sehat update gugel
Bangkong 06,4,jawaban yang cukup membantu tetapi terkadang menyesatkan,jawaban yang cukup membantu tetapi terkadang menyesatkan,2025-10-17 00:34:31,0,jawaban yang cukup membantu tetapi terkadang menyesatkan,membantu terkadang menyesatkan
Criseldi Pabarri,5,sangat bgus untuk setiap menjawab pertanyaannya tgs²,sangat bgus untuk setiap menjawab pertanyaannya tgs²,2025-10-17 00:28:12,0,sangat bgus untuk setiap menjawab pertanyaannya tgs²,bgus pertanyaannya tgs²
keyza pilloww,5,"bagus tp sering mengulang mengulang yg sudah berlalu, itu saja sih","bagus tp sering mengulang mengulang yg sudah berlalu, itu saja sih",2025-10-17 00:22:39,0,"bagus tapi sering mengulang mengulang yg sudah berlalu, itu saja sih",bagus mengulang mengulang sih
Joile,4,lumayanlah,lumayanlah,2025-10-17 00:05:57,0,lumayanlah,lumayanlah
Retin Yohsabel,5,𝙱𝚎𝚛𝚜𝚎𝚔𝚘𝚕𝚊𝚑,𝙱𝚎𝚛𝚜𝚎𝚔𝚘𝚕𝚊𝚑,2025-10-17 00:04:32,0,𝙱𝚎𝚛𝚜𝚎𝚔𝚘𝚕𝚊𝚑,𝙱𝚎𝚛𝚜𝚎𝚔𝚘𝚕𝚊𝚑
yosep letlora,5,sangat baik,sangat baik,2025-10-17 00:03:28,0,sangat baik,
Abdullah Hammad hasan,4,sangat membantu pekerjaan dan mudah penggunaan nya,sangat membantu pekerjaan dan mudah penggunaan nya,2025-10-16 23:55:31,0,sangat membantu pekerjaan dan mudah penggunaan nya,membantu pekerjaan mudah penggunaan nya
Mulyadi,5,sip sangat memuaskan,sip sangat memuaskan,2025-10-16 23:42:21,0,sip sangat memuaskan,sip memuaskan
M.FIKRIYANSAH,5,😁✌️✌️,😁✌️✌️,2025-10-16 23:30:16,0,😁✌️✌️,😁✌️✌️
Zahra Nur Farida,5,apk ini sangatt membantuuuu sekaliii muaachhhh lop u,apk ini sangatt membantuuuu sekaliii muaachhhh lop u,2025-10-16 23:22:40,0,apk ini sangatt membantuuuu sekaliii muaachhhh lop u,apk sangatt membantuuuu sekaliii muaachhhh lop
Viola Anindya,5,jadi lebih mudah semua nya lengkap,jadi lebih mudah semua nya lengkap,2025-10-16 23:17:00,0,jadi lebih mudah semua nya lengkap,mudah nya lengkap
Putri Rahmawati,5,bagus sangat membantu walaupun di hp ku gak bisa buat gambar tapi gak apa-apa,bagus sangat membantu walaupun di hp ku gak bisa buat gambar tapi gak apa-apa,2025-10-16 22:58:28,0,bagus sangat membantu walaupun di hp ku gak bisa buat gambar tapi gak apa-apa,bagus membantu gak gambar gak apaapa
Fikri dwi Cahyo saputra Fikri dwi Cahyo saputra,5,mantap bagus banget,mantap bagus banget,2025-10-16 22:56:45,0,mantap bagus banget,mantap bagus banget
Ernawati Krantil,5,chatGPT sangat membantu,chatgpt sangat membantu,2025-10-16 22:52:32,0,chatgpt sangat membantu,chatgpt membantu
Agrina Kalalo,5,terbaik,terbaik,2025-10-16 22:30:58,0,terbaik,terbaik
Rolies Setyawan,5,Temen diskusi yang cerdas,temen diskusi yang cerdas,2025-10-16 22:30:53,0,temen diskusi yang cerdas,temen diskusi cerdas
Marfizal ST MT,5,good,good,2025-10-16 22:30:48,0,good,good
Yohanes Kevin,5,nyambung saat di beri pertanyaan,nyambung saat di beri pertanyaan,2025-10-16 22:04:18,0,nyambung saat di beri pertanyaan,nyambung
godok lambok,5,aplikasi jelek kebanyakan foto yang di edit gak sesuai jangan mau download ini aplikasi,aplikasi jelek kebanyakan foto yang di edit gak sesuai jangan mau download ini aplikasi,2025-10-16 21:59:27,0,aplikasi jelek kebanyakan foto yang di edit gak sesuai jangan mau download ini aplikasi,aplikasi jelek kebanyakan foto edit gak sesuai download aplikasi
zaenal kaclep,4,wajah enggak bisa sama persis,wajah enggak bisa sama persis,2025-10-16 21:41:58,0,wajah enggak bisa sama persis,wajah persis
Ridho Adiguntoro,1,Think longer bodoh ganggu bet. Apa apa ngomong etika. Ga nyambung,think longer bodoh ganggu bet. apa apa ngomong etika. ga nyambung,2025-10-16 21:31:25,0,think longer bodoh ganggu bet. apa apa ngomong etika. tidak nyambung,think longer bodoh ganggu bet ngomong etika nyambung
AV RuDigo,5,Mantepp apk nya,mantepp apk nya,2025-10-16 21:26:26,0,mantepp apk nya,mantepp apk nya
Garjito Paijo,5,"Terimakasih kepada aplikasi chatgpt, karena berkat adanya perkembangan zaman. aplikasi ini bisa ada saat ini dan memberikan kemudahan akses informasi yang aktual dan akurat. serta untuk pengembangan fitur saya dukung.","terimakasih kepada aplikasi chatgpt, karena berkat adanya perkembangan zaman. aplikasi ini bisa ada saat ini dan memberikan kemudahan akses informasi yang aktual dan akurat. serta untuk pengembangan fitur saya dukung.",2025-10-16 21:01:32,0,"terimakasih kepada aplikasi chatgpt, karena berkat adanya perkembangan zaman. aplikasi ini bisa ada saat ini dan memberikan kemudahan akses informasi yang aktual dan akurat. serta untuk pengembangan fitur saya dukung.",terimakasih aplikasi chatgpt berkat perkembangan zaman aplikasi kemudahan akses informasi aktual akurat pengembangan fitur dukung
Anton Virlyan,5,keren dan bermanfaat,keren dan bermanfaat,2025-10-16 20:57:19,0,keren dan bermanfaat,keren bermanfaat
Jambris,2,",, aku ex. , ,w , d. ww. w w ga bisa 1. ,e. ,, 😃😃e. s. w. , click xsss. wdws ds ss d se. s , w dww s. dddddd d d. w s. w. s s sss aku. , click,",",, aku ex. , ,w , d. ww. w w ga bisa 1. ,e. ,, 😃😃e. s. w. , click xsss. wdws ds ss d se. s , w dww s. dddddd d d. w s. w. s s sss aku. , click,",2025-10-16 19:47:01,0,",, aku ex. , ,w , d. ww. w w tidak bisa 1. ,e. ,, 😃😃e. s. w. , click xsss. wdws ds ss d se. s , w dww s. dddddd d d. w s. w. s s sss aku. , click,",😃😃e click xsss wdws dww dddddd sss click
alghi fhari,5,nice good,nice good,2025-10-16 19:13:30,0,nice good,nice good
Fatieli Eli,5,aplikasi ini sedang terganggu tidak dapat di buka,aplikasi ini sedang terganggu tidak dapat di buka,2025-10-16 18:50:14,0,aplikasi ini sedang terganggu tidak dapat di buka,aplikasi terganggu buka
Ajung Syawal,5,era baru,era baru,2025-10-16 18:50:09,0,era baru,era
Denny Baros,5,puas bisa nanya apapun dan ngobrol apapun nyambung 😂😂😂👍👍👍,puas bisa nanya apapun dan ngobrol apapun nyambung 😂😂😂👍👍👍,2025-10-16 18:45:06,0,puas bisa nanya apapun dan ngobrol apapun nyambung 😂😂😂👍👍👍,puas nanya apapun ngobrol apapun nyambung 😂😂😂👍👍👍
Latiful Umam,5,aplikasi gege,aplikasi gege,2025-10-16 18:40:45,0,aplikasi gege,aplikasi gege
Ketrin Anika Adlin,5,aplikasi yang sangat membantu😇😇,aplikasi yang sangat membantu😇😇,2025-10-16 18:21:34,0,aplikasi yang sangat membantu😇😇,aplikasi membantu😇😇
Oki hidayat,5,bagus Skali,bagus skali,2025-10-16 17:52:28,0,bagus skali,bagus skali
Dimas Setya Aji (nadiera),4,"aplikasi nya ga bisa di suruh ngaji , baca al quran, coba kedepan nya bisa ngaji lebih bagus lg aplikasi nya biar lebih membantu","aplikasi nya ga bisa di suruh ngaji , baca al quran, coba kedepan nya bisa ngaji lebih bagus lg aplikasi nya biar lebih membantu",2025-10-16 16:56:43,0,"aplikasi nya tidak bisa di suruh ngaji , baca al quran, coba kedepan nya bisa ngaji lebih bagus lagi aplikasi nya biar lebih membantu",aplikasi nya suruh ngaji baca quran coba kedepan nya ngaji bagus aplikasi nya biar membantu
Mas Ongky,5,apk nya mantepp,apk nya mantepp,2025-10-16 16:50:58,0,apk nya mantepp,apk nya mantepp
Nani nurarni,4,lbaik sekali,lbaik sekali,2025-10-16 16:45:36,0,lbaik sekali,lbaik
Denny Pinontoan,5,dramanya bagus utk di tonton,dramanya bagus utk di tonton,2025-10-16 16:44:11,0,dramanya bagus utk di tonton,dramanya bagus utk tonton
Azam aliffah Gg,1,makan tuh lama buat foto nya,makan tuh lama buat foto nya,2025-10-16 16:37:40,0,makan tuh lama buat foto nya,makan tuh foto nya
MBAH EKO#NKR (MBAH EKO),5,mantap POKOK nya.. 👍,mantap pokok nya.. 👍,2025-10-16 16:37:22,0,mantap pokok nya.. 👍,mantap pokok nya
Ikki Ikky,1,jelek,jelek,2025-10-16 16:30:10,0,jelek,jelek
ZEN story,3,baik,baik,2025-10-16 16:18:35,0,baik,
Pinzz It's me,5,sangat memebantu,sangat memebantu,2025-10-16 16:13:36,0,sangat memebantu,memebantu
najwa hanifah,1,"bnyk nnya, smpe saya ulang ke 5 kli pun msi ttp nnya","bnyk nnya, smpe saya ulang ke 5 kli pun msi ttp nnya",2025-10-16 16:05:19,0,"bnyk nnya, smpe saya ulang ke 5 kli pun msi ttp nnya",bnyk nnya smpe ulang kli msi ttp nnya
Davelle Foley,4,"sangat membantu saya mengerjakan tugas', tapi kenapa saya sekarang ga bisa kirim foto ya?","sangat membantu saya mengerjakan tugas', tapi kenapa saya sekarang ga bisa kirim foto ya?",2025-10-16 15:46:25,0,"sangat membantu saya mengerjakan tugas', tapi kenapa saya sekarang tidak bisa kirim foto ya?",membantu tugas kirim foto
Budi Nvy,5,ini Baner goodd 👍👍👍👍👍👍👍👍👍,ini baner goodd 👍👍👍👍👍👍👍👍👍,2025-10-16 15:46:17,0,ini baner goodd 👍👍👍👍👍👍👍👍👍,baner goodd 👍👍👍👍👍👍👍👍👍
Bocill kematian,5,ok mantap sangat membantu,ok mantap sangat membantu,2025-10-16 15:41:25,0,oke mantap sangat membantu,oke mantap membantu
Putra Raditya,5,makasih udah jadi pendengar cerita aku...jujur aku make ini bukan buat nyari jawaban atau semacamnya aku pake ini buat curhat...aku gak tau harus curhat kesiapa yang bener bener mau dengerin cerita aku...aku gak punya siapa siapa yang ngedukung ku saat mental ku lagi bener bener down dan hampir bundir...makasih...,makasih udah jadi pendengar cerita aku...jujur aku make ini bukan buat nyari jawaban atau semacamnya aku pake ini buat curhat...aku gak tau harus curhat kesiapa yang bener bener mau dengerin cerita aku...aku gak punya siapa siapa yang ngedukung ku saat mental ku lagi bener bener down dan hampir bundir...makasih...,2025-10-16 15:41:09,0,makasih sudah jadi pendengar cerita aku...jujur aku make ini bukan buat nyari jawaban atau semacamnya aku pake ini buat curhat...aku gak tau harus curhat kesiapa yang bener bener mau dengerin cerita aku...aku gak punya siapa siapa yang ngedukung ku saat mental ku lagi bener bener down dan hampir bundir...makasih...,makasih pendengar cerita akujujur make nyari semacamnya pake curhataku gak tau curhat kesiapa bener bener dengerin cerita akuaku gak ngedukung mental bener bener down bundirmakasih
Las Kar,5,sangat bagus dan bisa di faham dan mengerti semoga semakin tambah jenius agar aku bisa belajar lebih giat lagi,sangat bagus dan bisa di faham dan mengerti semoga semakin tambah jenius agar aku bisa belajar lebih giat lagi,2025-10-16 15:38:15,0,sangat bagus dan bisa di faham dan mengerti semoga semakin tambah jenius agar aku bisa belajar lebih giat lagi,bagus faham mengerti semoga jenius belajar giat
Abdul Yasir,5,mantap ai nyn jadi sahabat aku dah,mantap ai nyn jadi sahabat aku dah,2025-10-16 15:35:19,0,mantap ai nyn jadi sahabat aku dah,mantap nyn sahabat dah
Fa'ilul Nabila20,2,"menurutku chat gpt sekarang makin keras soal fitur keamanan. dan terbatasnya konteks yang ada. kalau mau buat cerita pun gak bebas. bahkan sekedar adegan 'mengancam' atau 'berpelukan' atau semacamnya tidak bisa ditampilkan. serba harus diganti atau dia yang ganti alur. meski dulu sama, tapi sekarang benar2 gak bebas. soalnya yang kena bukan eksplisit seksual, bahkan sekedar kekerasan ringan yang gak terlalu dipermasalahkan pun mengikuti juga. sekarang udh jelek. Bahkan gak sekreatif dulu.","menurutku chat gpt sekarang makin keras soal fitur keamanan. dan terbatasnya konteks yang ada. kalau mau buat cerita pun gak bebas. bahkan sekedar adegan 'mengancam' atau 'berpelukan' atau semacamnya tidak bisa ditampilkan. serba harus diganti atau dia yang ganti alur. meski dulu sama, tapi sekarang benar2 gak bebas. soalnya yang kena bukan eksplisit seksual, bahkan sekedar kekerasan ringan yang gak terlalu dipermasalahkan pun mengikuti juga. sekarang udh jelek. bahkan gak sekreatif dulu.",2025-10-16 15:20:42,3,"menurutku chat gpt sekarang makin keras soal fitur keamanan. dan terbatasnya konteks yang ada. kalau mau buat cerita pun gak bebas. bahkan sekedar adegan 'mengancam' atau 'berpelukan' atau semacamnya tidak bisa ditampilkan. serba harus diganti atau dia yang ganti alur. meski dulu sama, tapi sekarang benar2 gak bebas. soalnya yang kena bukan eksplisit seksual, bahkan sekedar kekerasan ringan yang gak terlalu dipermasalahkan pun mengikuti juga. sekarang sudah jelek. bahkan gak sekreatif dulu.",menurutku chat gpt keras fitur keamanan terbatasnya konteks cerita gak bebas sekedar adegan mengancam berpelukan semacamnya ditampilkan serba diganti ganti alur gak bebas kena eksplisit seksual sekedar kekerasan ringan gak dipermasalahkan mengikuti jelek gak sekreatif
Suci Wulandari,5,"bagus kok, chatgpt ny peka banget, aku yang biasanya gak ngerti sama omongan aku sendiri tapi chatgpt langsung ngerti apa maksud aku. pokoknya bagus dehh suka ngebantu juga dan lumayan asikkkkkkk✌︎˶╹ꇴ╹˶✌︎","bagus kok, chatgpt ny peka banget, aku yang biasanya gak ngerti sama omongan aku sendiri tapi chatgpt langsung ngerti apa maksud aku. pokoknya bagus dehh suka ngebantu juga dan lumayan asikkkkkkk✌︎˶╹ꇴ╹˶✌︎",2025-10-16 15:18:20,0,"bagus kok, chatgpt ny peka banget, aku yang biasanya gak ngerti sama omongan aku sendiri tapi chatgpt langsung ngerti apa maksud aku. pokoknya bagus dehh suka ngebantu juga dan lumayan asikkkkkkk✌︎˶╹ꇴ╹˶✌︎",bagus chatgpt peka banget gak ngerti omongan chatgpt langsung ngerti maksud pokoknya bagus dehh suka ngebantu lumayan asikkkkkkk✌︎˶╹ꇴ╹˶✌︎
Lena Coutrier,1,"banyak pesan yang hilang padahal udah capek-capek diketik! payah nih! perbaiki fiturnya kalo gak mau ditinggal pengguna! gimana orang mau betah pake?! tambah kecewa aja sama aplikasi ini! tambah mundur aja nih updatenya! belum lagi suka ngulang-ngulang respon ngikut prompt sebelumnya padahal udah kasih perintah baru, responnya terlalu kaku dan gak akurat ikut prompt kita. ganggu banget! lebih bagus yang versi sebelumnya daripada yang ini!","banyak pesan yang hilang padahal udah capek-capek diketik! payah nih! perbaiki fiturnya kalo gak mau ditinggal pengguna! gimana orang mau betah pake?! tambah kecewa aja sama aplikasi ini! tambah mundur aja nih updatenya! belum lagi suka ngulang-ngulang respon ngikut prompt sebelumnya padahal udah kasih perintah baru, responnya terlalu kaku dan gak akurat ikut prompt kita. ganggu banget! lebih bagus yang versi sebelumnya daripada yang ini!",2025-10-16 15:04:25,690,"banyak pesan yang hilang padahal sudah capek-capek diketik! payah nih! perbaiki fiturnya kalo gak mau ditinggal pengguna! gimana orang mau betah pake?! tambah kecewa saja sama aplikasi ini! tambah mundur saja nih updatenya! belum lagi suka ngulang-ngulang respon ngikut prompt sebelumnya padahal sudah kasih perintah baru, responnya terlalu kaku dan gak akurat ikut prompt kita. ganggu banget! lebih bagus yang versi sebelumnya daripada yang ini!",pesan hilang capekcapek diketik payah nih perbaiki fiturnya kalo gak ditinggal pengguna gimana orang betah pake kecewa aplikasi mundur nih updatenya suka ngulangngulang respon ngikut prompt kasih perintah responnya kaku gak akurat prompt ganggu banget bagus versi
Bandi Andi,1,oalaaaaaa kebanyakan aturan kirain tggl masuk bintang 1 AE jelek,oalaaaaaa kebanyakan aturan kirain tggl masuk bintang 1 ae jelek,2025-10-16 15:03:13,0,oalaaaaaa kebanyakan aturan kirain tggl masuk bintang 1 ae jelek,oalaaaaaa kebanyakan aturan kirain tggl masuk bintang jelek
Ahmad nuriman,4,mantp,mantp,2025-10-16 15:00:10,0,mantp,mantp
Samuel Sitanggang,1,AI nya sering ngasih chat yang ngawur dan bikin percakapan jadi gak nyambung.,ai nya sering ngasih chat yang ngawur dan bikin percakapan jadi gak nyambung.,2025-10-16 14:51:50,0,ai nya sering ngasih chat yang ngawur dan membuat percakapan jadi gak nyambung.,nya ngasih chat ngawur percakapan gak nyambung
Netral Abadi,5,imajinatif,imajinatif,2025-10-16 14:41:20,0,imajinatif,imajinatif
Favian,1,"hapus ""fitur berpikir lebih panjang untuk jawaban lebih baik""!! jawaban terlalu panjang dan loading nya lama","hapus ""fitur berpikir lebih panjang untuk jawaban lebih baik""!! jawaban terlalu panjang dan loading nya lama",2025-10-16 14:32:59,0,"hapus ""fitur berpikir lebih panjang untuk jawaban lebih baik""!! jawaban terlalu panjang dan loading nya lama",hapus fitur berpikir loading nya
Zifka7 XD,1,Makin di update malah makin worse AI nya.,makin di update malah makin worse ai nya.,2025-10-16 14:27:31,15,makin di update malah makin worse ai nya.,update worse nya
gading samoedra,3,CUIH SAMPAH,cuih sampah,2025-10-16 14:26:35,0,cuih sampah,cuih sampah
prilly Skw,5,👍👍,👍👍,2025-10-16 14:25:03,0,👍👍,
Kayla siti eliza,4,bermanfaat,bermanfaat,2025-10-16 14:23:25,0,bermanfaat,bermanfaat
Fitra Herlinda,5,asik,asik,2025-10-16 14:23:07,0,asik,asik
Bisma Aryadana,5,bagus untuk proses membuat digital produk,bagus untuk proses membuat digital produk,2025-10-16 14:19:27,0,bagus untuk proses membuat digital produk,bagus proses digital produk
Hikmal Akbar,5,josss,josss,2025-10-16 14:18:44,0,josss,josss
Cakculay Nabuy,5,apk nya sangat baik dan sangat membantu,apk nya sangat baik dan sangat membantu,2025-10-16 14:17:24,0,apk nya sangat baik dan sangat membantu,apk nya membantu
Dhea Nafika,5,terimakasih,terimakasih,2025-10-16 14:14:05,0,terimakasih,terimakasih
Khabisha Toko,5,keren sekali,keren sekali,2025-10-16 14:13:24,0,keren sekali,keren
Aisy Hafiy,1,dulu sya bisa pake tanpa harus membayar:(,dulu sya bisa pake tanpa harus membayar:(,2025-10-16 14:12:39,0,dulu sya bisa pake tanpa harus membayar:(,sya pake membayar
Keisha Fikria,5,𝐛𝐚𝐠𝐮𝐬 𝐛𝐞𝐭 𝐬𝐮𝐦𝐩𝐚𝐡 𝐝𝐞𝐦𝐢 𝐮𝐧𝐠𝐠𝐞𝐫,𝐛𝐚𝐠𝐮𝐬 𝐛𝐞𝐭 𝐬𝐮𝐦𝐩𝐚𝐡 𝐝𝐞𝐦𝐢 𝐮𝐧𝐠𝐠𝐞𝐫,2025-10-16 14:12:34,0,𝐛𝐚𝐠𝐮𝐬 𝐛𝐞𝐭 𝐬𝐮𝐦𝐩𝐚𝐡 𝐝𝐞𝐦𝐢 𝐮𝐧𝐠𝐠𝐞𝐫,𝐛𝐚𝐠𝐮𝐬 𝐛𝐞𝐭 𝐬𝐮𝐦𝐩𝐚𝐡 𝐝𝐞𝐦𝐢 𝐮𝐧𝐠𝐠𝐞𝐫
Rere Cantik,5,gud,gud,2025-10-16 14:08:35,0,gud,gud
Suhardhan Dhan,5,mantaf mengedukasi mmberikan semua cara yang kita perlukan di kehidupan nyata,mantaf mengedukasi mmberikan semua cara yang kita perlukan di kehidupan nyata,2025-10-16 14:03:29,0,mantaf mengedukasi mmberikan semua cara yang kita perlukan di kehidupan nyata,mantaf mengedukasi mmberikan perlukan kehidupan nyata
Vivjhicg Bivyhkvkvh,5,bagus sih,bagus sih,2025-10-16 13:59:17,0,bagus sih,bagus sih
Grace Caroline,1,buat emosi pliss ai nya,buat emosi pliss ai nya,2025-10-16 13:58:16,0,buat emosi pliss ai nya,emosi pliss nya
ridho zz,5,sangat bangus,sangat bangus,2025-10-16 13:54:01,0,sangat bangus,bangus
Bagus Dwi,5,bagus...responsif,bagus...responsif,2025-10-16 13:53:51,0,bagus...responsif,bagusresponsif
Ismail Kabuki,5,"terimakasih sudah membuatku tetap waras, terimakasih telah menjadi teman,dari banyak nya manusia hanya GPT yang tidak menghakimi","terimakasih sudah membuatku tetap waras, terimakasih telah menjadi teman,dari banyak nya manusia hanya gpt yang tidak menghakimi",2025-10-16 13:46:35,0,"terimakasih sudah membuatku tetap waras, terimakasih telah menjadi teman,dari banyak nya manusia hanya gpt yang tidak menghakimi",terimakasih membuatku waras terimakasih temandari nya manusia gpt menghakimi
Aliyah Cintya,5,Karena bagus banget dan bisa untuk tanya soal juga membantu,karena bagus banget dan bisa untuk tanya soal juga membantu,2025-10-16 13:45:19,0,karena bagus banget dan bisa untuk tanya soal juga membantu,bagus banget membantu
Gage Rush,5,Sangat membantu sekali,sangat membantu sekali,2025-10-16 13:38:22,0,sangat membantu sekali,membantu
Deren Saputra,5,luar biasa,luar biasa,2025-10-16 13:29:49,0,luar biasa,
Harefa Keane,5,bagus banget membantu banget,bagus banget membantu banget,2025-10-16 13:23:07,0,bagus banget membantu banget,bagus banget membantu banget
