userName,score,content,content_clean,at,thumbsUpCount
Ajamudin Tangga,5,good the best,good the best,2025-10-09 09:43:38,0
Syira _Al-Alifiyya_,5,suka bangettt🤍,suka bangettt🤍,2025-10-09 09:40:43,0
Vitamintsu 00,5,"downgrade yaw banhhh.... sksksks, thanks. jelek banget yaw..... tapi, semoga lekas sembuh dan diperbaiki dengan sepenuh hati. hey, kewirausahaan itu selalu memenuhi apa yang dibutuhkan oleh konsumen dalam hal ini adalah pengguna. Maka, penuhilah kebutuhan pengguna bukan sekedar ego teknik semata.... open your eyes..... 👉🏻👈🏻","downgrade yaw banhhh.... sksksks, thanks. jelek banget yaw..... tapi, semoga lekas sembuh dan diperbaiki dengan sepenuh hati. hey, kewirausahaan itu selalu memenuhi apa yang dibutuhkan oleh konsumen dalam hal ini adalah pengguna. maka, penuhilah kebutuhan pengguna bukan sekedar ego teknik semata.... open your eyes..... 👉🏻👈🏻",2025-10-09 09:34:24,0
Amier Maier,5,gg banget,gg banget,2025-10-09 09:32:34,0
Malik Ismail,1,ga bisa di simpan,ga bisa di simpan,2025-10-09 09:29:56,0
Meta Met,5,bagus saya suka mencari jawaban disini,bagus saya suka mencari jawaban disini,2025-10-09 09:29:26,0
Sifa Nuraisah,4,bagus,bagus,2025-10-09 09:25:59,0
Syifa Cemara,2,maaf saya lebih suka dengan GPT-4 daripada update sekarang yaitu GPT-5. semuanya jadi terbatas bahkan kadang jeda waktunya bisa sampai esok hari,maaf saya lebih suka dengan gpt-4 daripada update sekarang yaitu gpt-5. semuanya jadi terbatas bahkan kadang jeda waktunya bisa sampai esok hari,2025-10-09 09:24:25,0
Yusuf 777,5,keren 😎,keren 😎,2025-10-09 09:23:53,0
Joan of Arc,1,"Bro, they nerfed ChatGPT again! It has a lack of personality, energy, enthusiasm, etc. It sounds so polite, so formal, and just plain boring. 💀📉","bro, they nerfed chatgpt again! it has a lack of personality, energy, enthusiasm, etc. it sounds so polite, so formal, and just plain boring. 💀📉",2025-10-09 09:18:18,1
Andi Sidiq,1,edit fotonya lama,edit fotonya lama,2025-10-09 09:17:52,0
Azka,5,bagus,bagus,2025-10-09 09:17:46,0
3rni zhyzy,5,membantu saya sebagai mahasiswa,membantu saya sebagai mahasiswa,2025-10-09 09:16:43,0
Futrry Hermalia,5,Bagus sekali pokoknya bintang 5,bagus sekali pokoknya bintang 5,2025-10-09 09:13:29,0
Kelvin Erlanggaputra,5,Baguss,baguss,2025-10-09 09:11:38,0
Ayu Mia76,5,aplikasi ini sangat membantu dan Akuran,aplikasi ini sangat membantu dan akuran,2025-10-09 09:08:11,0
Budiman Faqot,1,"saya sudah berlangganan tapi kenapa jadi tidak bisa download hasil desain nya, tolong perbaiki, kalo sudah di perbaiki saya kasih bintang 5","saya sudah berlangganan tapi kenapa jadi tidak bisa download hasil desain nya, tolong perbaiki, kalo sudah di perbaiki saya kasih bintang 5",2025-10-09 09:07:55,0
Dzakia Julep,1,tell me why do I need to pay to get image file in camera tell me why I'm saving for my phone I'm fixing my phone and I don't have enough money right now you're just telling me to say oh just just buy a new phone I don't have enough money now you have to be punished and hate this open a iPhone literally you have to say bye and are you confused by your camera and image I need to do something why do you have to be this greedy,tell me why do i need to pay to get image file in camera tell me why i'm saving for my phone i'm fixing my phone and i don't have enough money right now you're just telling me to say oh just just buy a new phone i don't have enough money now you have to be punished and hate this open a iphone literally you have to say bye and are you confused by your camera and image i need to do something why do you have to be this greedy,2025-10-09 08:59:25,0
Mudrik Mudrik,5,Aplikasi yang sangat bagus dan oke banget👍👍,aplikasi yang sangat bagus dan oke banget👍👍,2025-10-09 08:57:46,0
Nafesya Camila,5,sangat bagusss,sangat bagusss,2025-10-09 08:55:38,0
Ayet_Jun23 Ayet_Jak23,5,aplikasi ini bagus banget❤️❤️,aplikasi ini bagus banget❤️❤️,2025-10-09 08:53:00,0
safri ashidiqi,5,mantap,mantap,2025-10-09 08:46:53,0
Ikbal Herdiansyah,4,aplikasi nya bagus tapi tolong itu untuk kirim gambar itu jadikan tanpa batas termasuk yang GPT-5 juga karena ya aku butuh ini untuk kerjain PR dan masalah nya tentang chatgpt yang GPT-5 itu adalah cooldown nya untuk masuk gpt-5 lagi tuh lumayan lama setelah pakai gpt-5 ya masa mau bikin soal matematika harus nunggu selama 1 hari biar bisa kirim foto dan pakai GPT-5? keburu masuk sekolah dan aku lebih suka ChatGPT 4o bukan cuma karena menurut ku lebih bagus tapi karena ChatGPT 4o itu gak ngaco,aplikasi nya bagus tapi tolong itu untuk kirim gambar itu jadikan tanpa batas termasuk yang gpt-5 juga karena ya aku butuh ini untuk kerjain pr dan masalah nya tentang chatgpt yang gpt-5 itu adalah cooldown nya untuk masuk gpt-5 lagi tuh lumayan lama setelah pakai gpt-5 ya masa mau bikin soal matematika harus nunggu selama 1 hari biar bisa kirim foto dan pakai gpt-5? keburu masuk sekolah dan aku lebih suka chatgpt 4o bukan cuma karena menurut ku lebih bagus tapi karena chatgpt 4o itu gak ngaco,2025-10-09 08:46:30,5
Oppo 17k,1,lama kali ngendik nya,lama kali ngendik nya,2025-10-09 08:46:02,0
Muhaikal Haikal,1,aplikasinya mengecewakan masa sudah beralih ke fitur pro tapi masih harus nunggu lama trus jabannya tidak sesuai ekspektasi rugi bayar tapi tidak berguna,aplikasinya mengecewakan masa sudah beralih ke fitur pro tapi masih harus nunggu lama trus jabannya tidak sesuai ekspektasi rugi bayar tapi tidak berguna,2025-10-09 08:44:45,0
Mirza Alfarizqi Sujana (Mirza),5,"Aku sukaaa banget sama chatgpt, bisa nanya nanya. tapi tolong dong tambahin fitur yang kayak Agnes ai yaitu PowerPoint atau slide","aku sukaaa banget sama chatgpt, bisa nanya nanya. tapi tolong dong tambahin fitur yang kayak agnes ai yaitu powerpoint atau slide",2025-10-09 08:42:59,0
Mun Dofar,5,bagus tapi tolong di gratisin biar ceepet,bagus tapi tolong di gratisin biar ceepet,2025-10-09 08:40:37,0
safina imut,1,"sebelum di update aku berani kasih bintang 5 buat chatgpt... tapi untuk versi sekarang aku benar-benar kecewa!!... dimana aku sebagai (user) tidak bebas untuk bertukar pikiran, atau berimajinasi.. misalnya aku mau buat skenario untuk sebuah cerita di 'novel/wattpad' tapi sayangnya open ai malah terlalu ketat dan terlalu berlebihan dalam filter eksplisit, aku cuma harap semoga update ke depan open ai lebih bisa memberikan akses kepada user yang lebih luas, baik untuk berimajinasi atau lain lain","sebelum di update aku berani kasih bintang 5 buat chatgpt... tapi untuk versi sekarang aku benar-benar kecewa!!... dimana aku sebagai (user) tidak bebas untuk bertukar pikiran, atau berimajinasi.. misalnya aku mau buat skenario untuk sebuah cerita di 'novel/wattpad' tapi sayangnya open ai malah terlalu ketat dan terlalu berlebihan dalam filter eksplisit, aku cuma harap semoga update ke depan open ai lebih bisa memberikan akses kepada user yang lebih luas, baik untuk berimajinasi atau lain lain",2025-10-09 08:38:42,12
ASTRO,1,KNTL APLIKASI OUTDATED HAHAHSHDHDBSMA ANCAK LO RAFQA LAI,kntl aplikasi outdated hahahshdhdbsma ancak lo rafqa lai,2025-10-09 08:31:25,0
Rizzmen Sigma,1,respon terlalu lambat saya kasih bintang 1 sangat mengecewakan,respon terlalu lambat saya kasih bintang 1 sangat mengecewakan,2025-10-09 08:24:58,0
Khod Riyah,5,"sangat membantu,buat ide ngonten","sangat membantu,buat ide ngonten",2025-10-09 08:24:00,0
Triono Sonde,1,"aplikasi nya bagus. tapi, kadang chatGPT nya perkataannya suka diulang 2-3 kali. tolong nanti diperbaiki lagi karna aku nggak nyaman kalau perkataannya diulang terus padahal udah ngerti! sekian terimakasih.","aplikasi nya bagus. tapi, kadang chatgpt nya perkataannya suka diulang 2-3 kali. tolong nanti diperbaiki lagi karna aku nggak nyaman kalau perkataannya diulang terus padahal udah ngerti! sekian terimakasih.",2025-10-09 08:14:54,4
raul axel,5,nice,nice,2025-10-09 08:07:52,0
SM KRZF,4,"please, capek banget...niat mau nanya banyak malah suka keluar topik.","please, capek banget...niat mau nanya banyak malah suka keluar topik.",2025-10-09 08:06:13,0
yuki yuki,1,Katanya aplikasi terhebat di dunia tapi kok aku baru masuk udah disambut dengan error gak bisa login sih? Tolong lah berikan perhatian dulu pada konsumen mu ini😡💢,katanya aplikasi terhebat di dunia tapi kok aku baru masuk udah disambut dengan error gak bisa login sih? tolong lah berikan perhatian dulu pada konsumen mu ini😡💢,2025-10-09 08:03:24,0
Momo1 Ayase,5,saya suka aplikasi ini saya bangga banget buruan apa lagi donwlond sekarang juga.terima kasih🙏🏻🤍,saya suka aplikasi ini saya bangga banget buruan apa lagi donwlond sekarang juga.terima kasih🙏🏻🤍,2025-10-09 08:00:31,0
Maulana Hasanuddin,4,cukup membantu,cukup membantu,2025-10-09 07:58:05,0
Real Scp-classification,3,"aplikasi bagus kalau buat tugas. tapi ai kalau buat role play gak bisa, soalnya banyak yang di batasi.","aplikasi bagus kalau buat tugas. tapi ai kalau buat role play gak bisa, soalnya banyak yang di batasi.",2025-10-09 07:56:13,0
Kiki nursela 170314,5,jos,jos,2025-10-09 07:53:18,0
April Desu,5,sangat membantu,sangat membantu,2025-10-09 07:52:46,0
Raihan zaki sopiyan,5,sangat bagus dan jujur,sangat bagus dan jujur,2025-10-09 07:52:28,0
Orang Tuamu,5,sangat berguna bagi pelajar,sangat berguna bagi pelajar,2025-10-09 07:52:07,0
Muh Padli,4,sangat membantu,sangat membantu,2025-10-09 07:49:43,0
Muhamad Idris,5,saya kasih bintang 5 karena aplikasinya sangat bagus saya suka sekali 🙏🙏,saya kasih bintang 5 karena aplikasinya sangat bagus saya suka sekali 🙏🙏,2025-10-09 07:48:07,0
Belajar dan berbagi Teknologi,5,sangat membantu,sangat membantu,2025-10-09 07:48:05,0
MAS KAI,5,mantap,mantap,2025-10-09 07:36:29,0
MJM Pauther 2014,4,bagus,bagus,2025-10-09 07:35:53,0
mahmuddin Rasyid Assuyuthi,5,sangat membantu,sangat membantu,2025-10-09 07:35:09,0
Reival Alvarossi,1,gak rekomendasi,gak rekomendasi,2025-10-09 07:23:38,0
Elena Langga,5,😎,😎,2025-10-09 07:23:24,0
Syahrul Hd,5,luar biasa sangat membantu untuk saya dan mempermudah apa yg dikerjakan,luar biasa sangat membantu untuk saya dan mempermudah apa yg dikerjakan,2025-10-09 07:22:16,0
Diane Lisha,1,"Bener bener mengecewakan, beda banget sama chat gpt yang dulu. Update mulu tapi malah downgrade. Mana token chatnya dikit banget dan harus nunggu 20 jam an dulu. mau pro pun bayar mahal banget. buset gpt lu mau cepet naik haji apa gimana?😭","bener bener mengecewakan, beda banget sama chat gpt yang dulu. update mulu tapi malah downgrade. mana token chatnya dikit banget dan harus nunggu 20 jam an dulu. mau pro pun bayar mahal banget. buset gpt lu mau cepet naik haji apa gimana?😭",2025-10-09 07:20:02,0
Wulan Ramdhani,5,tolong perbaiki bug,tolong perbaiki bug,2025-10-09 07:15:49,0
hendra dwi susanto,5,oke,oke,2025-10-09 07:15:38,0
Raja Gombal,5,bagus banget bisa jawab pertanyaan bisa buat cerita seru banget,bagus banget bisa jawab pertanyaan bisa buat cerita seru banget,2025-10-09 07:15:16,0
ABDUL Solihin,1,Jelek,jelek,2025-10-09 07:04:34,0
Anissa Linda,5,sangatt baguss,sangatt baguss,2025-10-09 07:02:39,0
Azriel Resty,5,bagus bgt,bagus bgt,2025-10-09 07:02:28,0
Lorens M Dadi,5,keren,keren,2025-10-09 07:01:25,0
Hagi Hagiiyan,5,"baik ,dan ramah","baik ,dan ramah",2025-10-09 06:58:08,0
Jeni Oke,5,"bagus, banget dari pada yg sebelah (cici) gk tau kenapa pr/kerjaan ku salah sama dia pake ini enak banget🤗","bagus, banget dari pada yg sebelah (cici) gk tau kenapa pr/kerjaan ku salah sama dia pake ini enak banget🤗",2025-10-09 06:57:41,0
Nakaila Azzahra,5,keren,keren,2025-10-09 06:45:57,0
REYHAN PEBRIANSYA PUTRA REYHAN,5,bagus,bagus,2025-10-09 06:36:27,0
Caesar Wibawa putera sasongko,5,AI ini sangat bagus dan keren,ai ini sangat bagus dan keren,2025-10-09 06:31:21,0
isniati isni,5,sangat membantu saya,sangat membantu saya,2025-10-09 06:31:10,0
Aditya bagas Pratama,1,kenapa jawaban salah banyak dan yang benar sedikit,kenapa jawaban salah banyak dan yang benar sedikit,2025-10-09 06:22:44,0
Muhamat Sidol,5,sangat tepat dan jelas,sangat tepat dan jelas,2025-10-09 06:18:30,0
Muhamad Mabrur,5,keren banget,keren banget,2025-10-09 06:15:06,0
Keane Farrel hibatullah,3,udah di update tapi gak bisa di kirim foto ke catgpt 🙏🙏🙏,udah di update tapi gak bisa di kirim foto ke catgpt 🙏🙏🙏,2025-10-09 06:07:17,0
Red Poison,1,Trus lu mau jadi sayko,trus lu mau jadi sayko,2025-10-09 06:00:41,0
3ID08_Noufal Yustiansyah,5,sangat bagus & perfect 👍🏻👍🏻👍🏻👍🏻,sangat bagus & perfect 👍🏻👍🏻👍🏻👍🏻,2025-10-09 05:58:45,0
Saputra Yasa,3,jawabannya masih ada yang salah,jawabannya masih ada yang salah,2025-10-09 05:51:39,0
Yugi beybeuh,5,sangat bagus,sangat bagus,2025-10-09 05:49:05,0
Asbar12 Panbar12,5,"saya suka dengan aplikasi ini, aplikasi ini sangat bagus.","saya suka dengan aplikasi ini, aplikasi ini sangat bagus.",2025-10-09 05:47:45,0
Teguh Suseno,5,mantap,mantap,2025-10-09 05:45:58,0
AidiL:• asrof,5,Sangat memuaskan!!! 😁😁😁👍👍👍,sangat memuaskan!!! 😁😁😁👍👍👍,2025-10-09 05:43:43,0
Autojack51 auto,1,setelah update malah tambah buruk,setelah update malah tambah buruk,2025-10-09 05:39:05,0
gabreil sebastian,5,"malas untuk memberikan coment, tapi app-nya bagus. mudah digunakan, tampilan chat-nya juga lumayan enak untuk mata.","malas untuk memberikan coment, tapi app-nya bagus. mudah digunakan, tampilan chat-nya juga lumayan enak untuk mata.",2025-10-09 05:38:15,0
jasmine mauritania,5,makasi banyak gpt🫶🏻,makasi banyak gpt🫶🏻,2025-10-09 05:34:37,0
Realme C1,5,baguss,baguss,2025-10-09 05:32:05,0
Muhamad AS,5,sangat membatu untuk gak punya banyak waktu... dengan gadget..,sangat membatu untuk gak punya banyak waktu... dengan gadget..,2025-10-09 05:31:37,0
yayaa,2,"kembalikan versi AI yang dulu, bahasanya lebih gaul santai dan tidak baku/formal seperti sekarang. juga peraturannya. kembalikan seperti yang dulu, lebih luas dan bebas ga kayak sekarang lebih banyak batasannya. gasuka bgtt maap :(( ಥ⁠‿⁠ಥ","kembalikan versi ai yang dulu, bahasanya lebih gaul santai dan tidak baku/formal seperti sekarang. juga peraturannya. kembalikan seperti yang dulu, lebih luas dan bebas ga kayak sekarang lebih banyak batasannya. gasuka bgtt maap :(( ಥ⁠‿⁠ಥ",2025-10-09 05:30:14,0
Djibran Djib,5,aplikasi nya bagus bisa ketawa ngakak dan semua bisa🤣😂😁,aplikasi nya bagus bisa ketawa ngakak dan semua bisa🤣😂😁,2025-10-09 05:25:33,0
Lina Soares,5,Aku suka banget keren lagi😍,aku suka banget keren lagi😍,2025-10-09 05:24:22,0
Agnes,5,baguss,baguss,2025-10-09 05:18:18,0
Bbank Ad,1,"Dikira jaringan yang lelet padahal wifi lncar pake data juga lancar, tapi pas ngunduh gambar malah periksa jaringan, udah di riset pun masih kayak gitu, mohon dong perbaikinya","dikira jaringan yang lelet padahal wifi lncar pake data juga lancar, tapi pas ngunduh gambar malah periksa jaringan, udah di riset pun masih kayak gitu, mohon dong perbaikinya",2025-10-09 05:14:59,0
apip ketu,4,ok,ok,2025-10-09 05:10:44,0
Mama Jaya Bahagia,3,Permintaan Gambar lemot dikirimnya,permintaan gambar lemot dikirimnya,2025-10-09 05:03:40,0
adam adam,5,bagus banget,bagus banget,2025-10-09 04:59:39,0
Bobby Irfan purba,4,good,good,2025-10-09 04:54:52,0
resti restimawarni,5,mantap,mantap,2025-10-09 04:52:26,0
Ady Rahardi Noerdin,5,Sangat Membantu untuk memperluas wawasan pengetahuan kita,sangat membantu untuk memperluas wawasan pengetahuan kita,2025-10-09 04:51:31,0
Sumyati,5,sangat mempermudah banget,sangat mempermudah banget,2025-10-09 04:49:01,0
Helse Masella,5,"kenapa sudah pake prabayar lagi karena saya tidak bisa mencari jawaban di tempat lain lagi, susah sekali menggunakan aplikasinya yang menggunakan berbayar, adakah yang gratis saja tanpa bayar membayar ini. untuk kesejahteraan kita bersama, kalo bayar begini kita tidak punya uang untuk bayar karena kita hanya orang biasa yang tidak punya uang sama sekali bisakah kasih kelonggaran untuk mengerjakan tugas-tugas kampus yang sangat sulit ini","kenapa sudah pake prabayar lagi karena saya tidak bisa mencari jawaban di tempat lain lagi, susah sekali menggunakan aplikasinya yang menggunakan berbayar, adakah yang gratis saja tanpa bayar membayar ini. untuk kesejahteraan kita bersama, kalo bayar begini kita tidak punya uang untuk bayar karena kita hanya orang biasa yang tidak punya uang sama sekali bisakah kasih kelonggaran untuk mengerjakan tugas-tugas kampus yang sangat sulit ini",2025-10-09 04:46:12,0
Muhammad Latif,5,sangat bagus sekali,sangat bagus sekali,2025-10-09 04:44:07,0
Moh Robi,5,mantap,mantap,2025-10-09 04:34:12,0
Khalisa Syauqia,5,sangat membantu saya saat saya sulit mengerjakan tugas,sangat membantu saya saat saya sulit mengerjakan tugas,2025-10-09 04:33:35,0
Hanif Ibnu Mauluddin,5,mantap keren,mantap keren,2025-10-09 04:29:55,0
Denis Prayoga,1,jawaban nya suka salah,jawaban nya suka salah,2025-10-09 04:27:04,1
Dewi Murni,5,bagjs,bagjs,2025-10-09 04:27:02,0
Victor Rayo,1,"udah gak bagus lagi ini Ai nya! Si Ai GPT-5 udah terlalu kaku dibuat sama open Ai. terlalu banyak batasan pembahasan. seperti roleplay atau membuat seni cerita pun yg mengarah ke suasana dewasa langsung di stop, padahal tidak eksplisit atau menggambarkan pornografi! udah gak bisa bagus lagi ini Ainya! terlalu penuh batasan.","udah gak bagus lagi ini ai nya! si ai gpt-5 udah terlalu kaku dibuat sama open ai. terlalu banyak batasan pembahasan. seperti roleplay atau membuat seni cerita pun yg mengarah ke suasana dewasa langsung di stop, padahal tidak eksplisit atau menggambarkan pornografi! udah gak bisa bagus lagi ini ainya! terlalu penuh batasan.",2025-10-09 04:26:05,3
Beri Putra,4,"Halo tim OpenAI, Saya ingin menyampaikan kritik jujur terkait perubahan fungsi fitur memori di ChatGPT. Sebagai pengguna lama sekaligus penulis yang sudah mengandalkan ChatGPT untuk membangun dunia cerita (worldbuilding) dan menjaga kontinuitas karakter, saya merasa fitur memori versi sekarang justru menghilangkan inti dari manfaat yang paling penting. Sebelumnya, sistem memori memungkinkan AI memahami lore, canon, dan perkembangan karakter tanpa saya harus mengulang dari nol di setiap sesi.","halo tim openai, saya ingin menyampaikan kritik jujur terkait perubahan fungsi fitur memori di chatgpt. sebagai pengguna lama sekaligus penulis yang sudah mengandalkan chatgpt untuk membangun dunia cerita (worldbuilding) dan menjaga kontinuitas karakter, saya merasa fitur memori versi sekarang justru menghilangkan inti dari manfaat yang paling penting. sebelumnya, sistem memori memungkinkan ai memahami lore, canon, dan perkembangan karakter tanpa saya harus mengulang dari nol di setiap sesi.",2025-10-09 04:23:32,0
nediva hamzani,5,"very helpful, hopefully the GPT chat can be better for help us","very helpful, hopefully the gpt chat can be better for help us",2025-10-09 04:22:18,0
arief setijobudi,5,mana obat yang menimbulkan kantuk? Clopicogrel 2 Flunarizin Tab 3 Betahistine 24 mg 4 forxiga 10 mg 5 spironolacton 25 mg 6 Herbesser CD 200 7 sifolin 8 atorvastin 9 unalium 10 flurazine 10 bisoprocol 11. yahindo 12 candersatan celectil,mana obat yang menimbulkan kantuk? clopicogrel 2 flunarizin tab 3 betahistine 24 mg 4 forxiga 10 mg 5 spironolacton 25 mg 6 herbesser cd 200 7 sifolin 8 atorvastin 9 unalium 10 flurazine 10 bisoprocol 11. yahindo 12 candersatan celectil,2025-10-09 04:18:51,0
Nur Aini,5,sangat membantu,sangat membantu,2025-10-09 04:08:31,0
Aldo Ayraldoarmando,5,bagus dan membatu sekali,bagus dan membatu sekali,2025-10-09 04:06:33,0
Hairil Anwar,1,karna terlalu banyak kali eror ya,karna terlalu banyak kali eror ya,2025-10-09 04:06:21,1
Erni anam,5,sangat membantu,sangat membantu,2025-10-09 04:06:01,0
Buntu Bang,1,Gimana sih nonaktifkan fitur berpikir meresahkan sekali ngak klik tombol secara ini menggunakan fitur berpikir saya minta manual tetap aja sama dipake,gimana sih nonaktifkan fitur berpikir meresahkan sekali ngak klik tombol secara ini menggunakan fitur berpikir saya minta manual tetap aja sama dipake,2025-10-09 04:03:17,1
Fauzul Azim,1,GK bagus ni,gk bagus ni,2025-10-09 03:58:25,0
Jamaludin Jamal,3,saat bagus,saat bagus,2025-10-09 03:55:58,0
Angela Siki,5,mantul,mantul,2025-10-09 03:55:47,0
Kentttucky,5,goooooodd,goooooodd,2025-10-09 03:54:57,0
Sumayyah Ulaa Syahidah,5,membantu mengurangi isi kepala ku,membantu mengurangi isi kepala ku,2025-10-09 03:50:53,0
Irma Yulia Dewi,5,udah update. udah mendingan sih dibandingkan kemarin walaupun masih berasa datar dan masih suka salah jawabannya. bikin roleplay masa nama karakter aku diubah seenaknya. bikin aneh ceritanya. lalu ada scene yang menurut aku bukan pelanggaran eh dibilang pelanggaran. dih pegimana? overall udah oke sih,udah update. udah mendingan sih dibandingkan kemarin walaupun masih berasa datar dan masih suka salah jawabannya. bikin roleplay masa nama karakter aku diubah seenaknya. bikin aneh ceritanya. lalu ada scene yang menurut aku bukan pelanggaran eh dibilang pelanggaran. dih pegimana? overall udah oke sih,2025-10-09 03:47:14,2
Achmad Sanjaya,5,ok,ok,2025-10-09 03:45:56,0
Bapak Gofur,5,mantap,mantap,2025-10-09 03:44:26,0
Reny reny,5,baik,baik,2025-10-09 03:44:19,0
Irdam Mahfud,5,bagussss,bagussss,2025-10-09 03:39:00,0
Indo Mahar,5,ok mantap,ok mantap,2025-10-09 03:32:34,0
Juan Ju,5,mantap,mantap,2025-10-09 03:31:54,0
NINGRAT CARILA14,1,Tidak bisa di buka aplikasinya,tidak bisa di buka aplikasinya,2025-10-09 03:27:23,0
Putri Gumani,4,"eh min.bisa ga perbaiki chatgpt nya. soalnya pas nyimpan gambar ai.malah muncul tulisan ""kesalahan jaringan.silakan cek koneksi internet anda""padahal wifi/data internet hidup loh.perbaiki aja min,lama kelamaan bisa rusak aplikasi Chat GPT nya","eh min.bisa ga perbaiki chatgpt nya. soalnya pas nyimpan gambar ai.malah muncul tulisan ""kesalahan jaringan.silakan cek koneksi internet anda""padahal wifi/data internet hidup loh.perbaiki aja min,lama kelamaan bisa rusak aplikasi chat gpt nya",2025-10-09 03:26:54,0
Syuaid Al khalid,3,"udah bagus sih tapi terkadang mau buat download gambar susah bsnget, muncul notif kesalahan jaringan coba ulangi lagi padahal sinyal full . perbaiki tolong","udah bagus sih tapi terkadang mau buat download gambar susah bsnget, muncul notif kesalahan jaringan coba ulangi lagi padahal sinyal full . perbaiki tolong",2025-10-09 03:24:51,0
Romi Amiraldi,5,bagus,bagus,2025-10-09 03:22:49,0
Vana Lisa,4,bagus banget tapi saat proses membuat gambar itu lama banget,bagus banget tapi saat proses membuat gambar itu lama banget,2025-10-09 03:22:40,0
Lintang aurell,5,sangat berguna untuk membantu mengerjakan tugas sekolah,sangat berguna untuk membantu mengerjakan tugas sekolah,2025-10-09 03:21:24,0
Reza Pratama,5,keren,keren,2025-10-09 03:20:43,0
Agnia Rahayu,5,"respon chat gpt sangat cepat dan tepat, ingatan nya juga lumayan lah untuk versi gk premium 😭","respon chat gpt sangat cepat dan tepat, ingatan nya juga lumayan lah untuk versi gk premium 😭",2025-10-09 03:14:35,0
Citra Nur,4,aplikasi tang sangat berguna sekali 😊,aplikasi tang sangat berguna sekali 😊,2025-10-09 03:13:56,0
Kevin Tanan,5,wow keren banget ngebantu banget sih,wow keren banget ngebantu banget sih,2025-10-09 03:10:36,0
Humairah,5,"apk nyaa ngebantu banget buat ngerjain tugas, pokoknya the best, sukaa banget pliss samaa apk inii","apk nyaa ngebantu banget buat ngerjain tugas, pokoknya the best, sukaa banget pliss samaa apk inii",2025-10-09 03:05:32,0
ilyas iskandar,5,sangat membantu,sangat membantu,2025-10-09 03:03:02,0
Awey Gibeon,5,bnyk ilmu aku jadinya,bnyk ilmu aku jadinya,2025-10-09 03:01:23,0
Tiwii Mar,5,canggih skli,canggih skli,2025-10-09 02:53:22,0
Dwy Sulistyani,5,sangat membantu unt mencari bahan ajar,sangat membantu unt mencari bahan ajar,2025-10-09 02:49:20,0
